"","farsi","some.V1","some.V2","some.V3"
"1","شناسه پاسخ‌دهنده","شناسه پاسخ‌دهنده","",""
"2","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود.دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - جنسیت","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود.دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," جنسیت",""
"3","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - سن","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," سن",""
"4","nas","nas","",""
"5","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - استان محل اقامت","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," استان محل اقامت",""
"6","city","city","",""
"7","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - تحصیلات","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," تحصیلات",""
"8","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - شغل","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," شغل",""
"9","نظر شمانظر شما - موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی ""سرپوشیده"" (از جمله کافه‌ها، رستوران‌ها و ...) هستید؟","نظر شمانظر شما "," موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی ""سرپوشیده"" (از جمله کافه‌ها، رستوران‌ها و ...) هستید؟",""
"10","نظر شما - موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی ""سرباز"" (از جمله پارک‌ها، سفره‌ خانه‌ها و ..) هستید؟","نظر شما "," موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی ""سرباز"" (از جمله پارک‌ها، سفره‌ خانه‌ها و ..) هستید؟",""
"11","نظر شما - طی یک ماه گذشته، آیا پیام تبلیغاتی ضد مصرف دخانیات در رسانه‌های عمومی (از جمله تلویزیون، رادیو، شبکه‌های اجتماعی) دیده یا شنیده ‌اید؟","نظر شما "," طی یک ماه گذشته، آیا پیام تبلیغاتی ضد مصرف دخانیات در رسانه‌های عمومی (از جمله تلویزیون، رادیو، شبکه‌های اجتماعی) دیده یا شنیده ‌اید؟",""
"12","نظر شما - طی یک ماه گذشته، آیا پیام ضد مصرف دخانیات در وقایع ورزشی، دیده‌اید یا شنیده ‌اید؟","نظر شما "," طی یک ماه گذشته، آیا پیام ضد مصرف دخانیات در وقایع ورزشی، دیده‌اید یا شنیده ‌اید؟",""
"13","نظر شما - آیا تاکنون فردی که در مراکز تهیه و توزیع دخانیات فعالیت می‌کند به شما قلیان یا سیگار رایگان تعارف کرده است؟","نظر شما "," آیا تاکنون فردی که در مراکز تهیه و توزیع دخانیات فعالیت می‌کند به شما قلیان یا سیگار رایگان تعارف کرده است؟",""
"14","نظر شما - آیا شما فکر می‌کنید اگر فردی استفاده از قلیان یا سیگار را شروع کند، ترک برای او سخت می‌شود؟","نظر شما "," آیا شما فکر می‌کنید اگر فردی استفاده از قلیان یا سیگار را شروع کند، ترک برای او سخت می‌شود؟",""
"15","نظر شما - به نظر شما مصرف قلیان یا سیگار ضرر دارد؟","نظر شما "," به نظر شما مصرف قلیان یا سیگار ضرر دارد؟",""
"16","نظر شما - به نظر شما عبور دود قلیان از آب، آن را بی ضرر می کند؟","نظر شما "," به نظر شما عبور دود قلیان از آب، آن را بی ضرر می کند؟",""
"17","نظر شما - به نظر شما انواع میوه ای قلیان ضرر کمتری دارد؟","نظر شما "," به نظر شما انواع میوه ای قلیان ضرر کمتری دارد؟",""
"18","نظر شما - در محل کار برای مصرف دخانیات محدودیت دارید؟","نظر شما "," در محل کار برای مصرف دخانیات محدودیت دارید؟",""
"19","نظر شما - در حال حاضر کدام مورد را مصرف می کنید؟","نظر شما "," در حال حاضر کدام مورد را مصرف می کنید؟",""
"20","افراد غیر وابسته به دودافراد غیر وابسته به دود - آیا قبلا سابقه مصرف قلیان یا سیگار داشته اید؟","افراد غیر وابسته به دودافراد غیر وابسته به دود "," آیا قبلا سابقه مصرف قلیان یا سیگار داشته اید؟",""
"21","چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - برای سلامتی خودم مضر است","چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟افراد غیر وابسته به دود "," چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ "," برای سلامتی خودم مضر است"
"22","افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - برای سلامتی دیگران مضر است","افراد غیر وابسته به دود "," چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ "," برای سلامتی دیگران مضر است"
"23","افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - قبح اجتماعی (زشته)","افراد غیر وابسته به دود "," چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ "," قبح اجتماعی (زشته)"
"24","افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - علاقه ندارم","افراد غیر وابسته به دود "," چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ "," علاقه ندارم"
"25","افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - دسترسی ندارم","افراد غیر وابسته به دود "," چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ "," دسترسی ندارم"
"26","افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - هزینۀ بالای مصرف","افراد غیر وابسته به دود "," چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ "," هزینۀ بالای مصرف"
"27","افراد غیر وابسته به دود - آیا کسی از دوستان نزدیک شما، مصرف‌کنندۀ دخانیات است؟","افراد غیر وابسته به دود "," آیا کسی از دوستان نزدیک شما، مصرف‌کنندۀ دخانیات است؟",""
"28","افراد غیر وابسته به دود - به طور متوسط هفته‌ای چند بار با ایشان ملاقات دارید؟","افراد غیر وابسته به دود "," به طور متوسط هفته‌ای چند بار با ایشان ملاقات دارید؟",""
"29","افراد غیر وابسته به دود - اگر  فردی از خانوادۀ درجه یک، در حضور شما سیگار یا قلیان مصرف کند، عکس‌العمل شما چیست؟","افراد غیر وابسته به دود "," اگر  فردی از خانوادۀ درجه یک، در حضور شما سیگار یا قلیان مصرف کند، عکس‌العمل شما چیست؟",""
"30","افراد غیر وابسته به دود - اگر از دوستان یا افراد فامیل درجه دو یا سه، در حضور شما سیگار یا قلیان مصرف کنند، عکس‌العمل شما چیست؟","افراد غیر وابسته به دود "," اگر از دوستان یا افراد فامیل درجه دو یا سه، در حضور شما سیگار یا قلیان مصرف کنند، عکس‌العمل شما چیست؟",""
"31","افراد غیر وابسته به دود - آیا طی ۷ روز گذشته کسی در حضور شما در مکان های عمومی ""سرپوشیده"" مصرف قلیان یا سیگار داشته است؟","افراد غیر وابسته به دود "," آیا طی ۷ روز گذشته کسی در حضور شما در مکان های عمومی ""سرپوشیده"" مصرف قلیان یا سیگار داشته است؟",""
"32","افراد غیر وابسته به دود - تعداد روزها را مشخص کنید:","افراد غیر وابسته به دود "," تعداد روزها را مشخص کنید:",""
"33","افراد غیر وابسته به دود - آیا طی ۷ روز گذشته کسی در حضور شما در مکان های عمومی ""سرباز"" مصرف قلیان یا سیگار داشته است؟","افراد غیر وابسته به دود "," آیا طی ۷ روز گذشته کسی در حضور شما در مکان های عمومی ""سرباز"" مصرف قلیان یا سیگار داشته است؟",""
"34","افراد غیر وابسته به دود - تعداد روزها را مشخص کنید:.1","افراد غیر وابسته به دود "," تعداد روزها را مشخص کنید:.1",""
"35","افراد غیر وابسته به دود - اگر یکی از دوستان نزدیک، مصرف قلیان یا سیگار را به شما پیشنهاد دهد، می پذیرید؟","افراد غیر وابسته به دود "," اگر یکی از دوستان نزدیک، مصرف قلیان یا سیگار را به شما پیشنهاد دهد، می پذیرید؟",""
"36","اطلاعات اختصاصی الگوی مصرف سیگاراطلاعات اختصاصی الگوی مصرف سیگار - از چه سنی سیگار را شروع کردید؟","اطلاعات اختصاصی الگوی مصرف سیگاراطلاعات اختصاصی الگوی مصرف سیگار "," از چه سنی سیگار را شروع کردید؟",""
"37","مهمترین دلیل شما برای سیگار کشیدن چیست؟اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - کسب آرامش","مهمترین دلیل شما برای سیگار کشیدن چیست؟اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," کسب آرامش"
"38","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - رفع خستگی","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," رفع خستگی"
"39","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - کسب لذت","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," کسب لذت"
"40","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - کسب تجربه","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," کسب تجربه"
"41","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - فشار زندگی و استرس","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," فشار زندگی و استرس"
"42","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - تقلید از دیگران","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," تقلید از دیگران"
"43","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - به عنوان سرگرمی و تفریح","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," به عنوان سرگرمی و تفریح"
"44","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - احساس بزرگی و شخصیت","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," احساس بزرگی و شخصیت"
"45","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - کنجکاوی","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," کنجکاوی"
"46","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - لجاجت در مقابل والدین","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," لجاجت در مقابل والدین"
"47","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - مشکلات روحی-عاطفی","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," مشکلات روحی-عاطفی"
"48","اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - ناامیدی از آینده زندگی","اطلاعات اختصاصی الگوی مصرف سیگار "," مهمترین دلیل شما برای سیگار کشیدن چیست؟ "," ناامیدی از آینده زندگی"
"49","اطلاعات اختصاصی الگوی مصرف سیگار - بطور متوسط در یک روز چند نخ یا پاکت  سیگار مصرف می کنید؟","اطلاعات اختصاصی الگوی مصرف سیگار "," بطور متوسط در یک روز چند نخ یا پاکت  سیگار مصرف می کنید؟",""
"50","اطلاعات اختصاصی الگوی مصرف سیگار - آیا تا به حال تمایل به  استفاده از سیگار  بعد از بیدار شدن از خواب داشته اید؟","اطلاعات اختصاصی الگوی مصرف سیگار "," آیا تا به حال تمایل به  استفاده از سیگار  بعد از بیدار شدن از خواب داشته اید؟",""
"51","اطلاعات اختصاصی الگوی مصرف سیگار - چه مدت پس از بیدار شدن از خواب، اولین سیگار را روشن می‌کنید؟","اطلاعات اختصاصی الگوی مصرف سیگار "," چه مدت پس از بیدار شدن از خواب، اولین سیگار را روشن می‌کنید؟",""
"52","اطلاعات اختصاصی الگوی مصرف سیگار - در چه ساعاتی بیشتر میل  به سیگار دارید و مصرف می کنید؟","اطلاعات اختصاصی الگوی مصرف سیگار "," در چه ساعاتی بیشتر میل  به سیگار دارید و مصرف می کنید؟",""
"53","اطلاعات اختصاصی الگوی مصرف سیگار - نکشیدن کدام نخ سیگار در روز برای شما مشکل تر است؟","اطلاعات اختصاصی الگوی مصرف سیگار "," نکشیدن کدام نخ سیگار در روز برای شما مشکل تر است؟",""
"54","اطلاعات اختصاصی الگوی مصرف سیگار - آیا وقتی بیمار هستید هم، هوس سیگار می کنید و می کشید؟","اطلاعات اختصاصی الگوی مصرف سیگار "," آیا وقتی بیمار هستید هم، هوس سیگار می کنید و می کشید؟",""
"55","اطلاعات اختصاصی الگوی مصرف سیگار - اولین بار کجا سیگار کشیدید؟","اطلاعات اختصاصی الگوی مصرف سیگار "," اولین بار کجا سیگار کشیدید؟",""
"56","اطلاعات اختصاصی الگوی مصرف سیگار - چگونه شروع کردید؟","اطلاعات اختصاصی الگوی مصرف سیگار "," چگونه شروع کردید؟",""
"57","اطلاعات اختصاصی الگوی مصرف سیگار - با این جمله موافق هستید؟
«من از سیگار کشیدن لذت می برم.»","اطلاعات اختصاصی الگوی مصرف سیگار "," با این جمله موافق هستید؟
«من از سیگار کشیدن لذت می برم.»",""
"58","اطلاعات اختصاصی الگوی مصرف سیگار - آیا نکشیدن سیگار در محل هایی که ممنوع است، شما را ناراحت می کند؟","اطلاعات اختصاصی الگوی مصرف سیگار "," آیا نکشیدن سیگار در محل هایی که ممنوع است، شما را ناراحت می کند؟",""
"59","اطلاعات اختصاصی الگوی مصرف سیگار - فکر می کنید افرادی که سیگار می کشند، تعداد دوستانشان بیشتر است یا کمتر؟","اطلاعات اختصاصی الگوی مصرف سیگار "," فکر می کنید افرادی که سیگار می کشند، تعداد دوستانشان بیشتر است یا کمتر؟",""
"60","اطلاعات اختصاصی الگوی مصرف سیگار - فکر می کنید مصرف سیگار باعث می گردد سایر افراد شما را بیشتر دوست داشته باشند و به شما بیشتر احترام بگذارند؟","اطلاعات اختصاصی الگوی مصرف سیگار "," فکر می کنید مصرف سیگار باعث می گردد سایر افراد شما را بیشتر دوست داشته باشند و به شما بیشتر احترام بگذارند؟",""
"61","اطلاعات اختصاصی الگوی مصرف سیگار - آیا شما به بستگان درجه یک و دوستان صمیمی خود سیگار کشیدن را پیشنهاد می کنید؟","اطلاعات اختصاصی الگوی مصرف سیگار "," آیا شما به بستگان درجه یک و دوستان صمیمی خود سیگار کشیدن را پیشنهاد می کنید؟",""
"62","تمایل به ترک سیگارتمایل به ترک سیگار - آیا تمایل به ترک سیگار دارید؟","تمایل به ترک سیگارتمایل به ترک سیگار "," آیا تمایل به ترک سیگار دارید؟",""
"63","تمایل به ترک سیگار - آیا تا کنون اقدام به ترک داشته اید؟","تمایل به ترک سیگار "," آیا تا کنون اقدام به ترک داشته اید؟",""
"64","مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - ترس از بيمارشدن","مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟تمایل به ترک سیگار "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," ترس از بيمارشدن"
"65","تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - اصرار دوستان و فاميل","تمایل به ترک سیگار "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," اصرار دوستان و فاميل"
"66","تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - به خاطر فرزندانم","تمایل به ترک سیگار "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," به خاطر فرزندانم"
"67","تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - توصيه پرسنل بهداشتی","تمایل به ترک سیگار "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," توصيه پرسنل بهداشتی"
"68","تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - قوانين محيط کار","تمایل به ترک سیگار "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," قوانين محيط کار"
"69","تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - خسته شدن از مصرف","تمایل به ترک سیگار "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," خسته شدن از مصرف"
