,a,b.V1,b.V2,b.V3
1,g-id,g,id,
2,g-gender,g,gender,
3,g-age,g,age,
4,g-nas,g,nas,
5,g-province,g,province,
6,g-city,g,city,
7,g-education,g,education,
8,g-occupation,g,occupation,
9,نظر شمانظر شما - موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی "سرپوشیده" (از جمله کافه‌ها، رستوران‌ها و ...) هستید؟,o,indoor,
10,نظر شما - موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی "سرباز" (از جمله پارک‌ها، سفره‌ خانه‌ها و ..) هستید؟,o,outdoor,
11,نظر شما - طی یک ماه گذشته، آیا پیام تبلیغاتی ضد مصرف دخانیات در رسانه‌های عمومی (از جمله تلویزیون، رادیو، شبکه‌های اجتماعی) دیده یا شنیده ‌اید؟,o,media,
12,نظر شما - طی یک ماه گذشته، آیا پیام ضد مصرف دخانیات در وقایع ورزشی، دیده‌اید یا شنیده ‌اید؟,o,sports,
13,نظر شما - آیا تاکنون فردی که در مراکز تهیه و توزیع دخانیات فعالیت می‌کند به شما قلیان یا سیگار رایگان تعارف کرده است؟,o,free.offer,
14,نظر شما - آیا شما فکر می‌کنید اگر فردی استفاده از قلیان یا سیگار را شروع کند، ترک برای او سخت می‌شود؟,o,difficult.quit,
15,نظر شما - به نظر شما مصرف قلیان یا سیگار ضرر دارد؟,o,harm.general,
16,نظر شما - به نظر شما عبور دود قلیان از آب، آن را بی ضرر می کند؟,o,harm.water,
17,نظر شما - به نظر شما انواع میوه ای قلیان ضرر کمتری دارد؟,o,har.fruit.taste,
18,نظر شما - در محل کار برای مصرف دخانیات محدودیت دارید؟,o,work.restriction,
19,نظر شما - در حال حاضر کدام مورد را مصرف می کنید؟,o,now.use,
20,افراد غیر وابسته به دودافراد غیر وابسته به دود - آیا قبلا سابقه مصرف قلیان یا سیگار داشته اید؟,n,previous.use,
21,چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - برای سلامتی خودم مضر است,n,why.notuse,harm.self
22,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - برای سلامتی دیگران مضر است,n,why.notuse,harm.others
23,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - قبح اجتماعی (زشته),n,why.notuse,public.taboo
24,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - علاقه ندارم,n,why.notuse,not.interested
25,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - دسترسی ندارم,n,why.notuse,access.restricted
26,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - هزینۀ بالای مصرف,n,why.notuse,cost.high
27,افراد غیر وابسته به دود - آیا کسی از دوستان نزدیک شما، مصرف‌کنندۀ دخانیات است؟,n,friend.use,
28,افراد غیر وابسته به دود - به طور متوسط هفته‌ای چند بار با ایشان ملاقات دارید؟,n,meet.friend,
29,افراد غیر وابسته به دود - اگر  فردی از خانوادۀ درجه یک، در حضور شما سیگار یا قلیان مصرف کند، عکس‌العمل شما چیست؟,n,reaction.family,
30,افراد غیر وابسته به دود - اگر از دوستان یا افراد فامیل درجه دو یا سه، در حضور شما سیگار یا قلیان مصرف کنند، عکس‌العمل شما چیست؟,n,reaction.friend,
31,افراد غیر وابسته به دود - آیا طی ۷ روز گذشته کسی در حضور شما در مکان های عمومی "سرپوشیده" مصرف قلیان یا سیگار داشته است؟,n,public.indoor.use,
32,افراد غیر وابسته به دود - تعداد روزها را مشخص کنید:,n,public.indoor.use.days,
33,افراد غیر وابسته به دود - آیا طی ۷ روز گذشته کسی در حضور شما در مکان های عمومی "سرباز" مصرف قلیان یا سیگار داشته است؟,n,public.outdoor.use,
34,افراد غیر وابسته به دود - تعداد روزها را مشخص کنید:.1,n,public.outdoor.use.days,
35,افراد غیر وابسته به دود - اگر یکی از دوستان نزدیک، مصرف قلیان یا سیگار را به شما پیشنهاد دهد، می پذیرید؟,n,offer.accept,
36,اطلاعات اختصاصی الگوی مصرف سیگاراطلاعات اختصاصی الگوی مصرف سیگار - از چه سنی سیگار را شروع کردید؟,c,age,
37,مهمترین دلیل شما برای سیگار کشیدن چیست؟اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - کسب آرامش,c,reason.use,relaxig
38,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - رفع خستگی,c,reason.use,reduce.fatigue
39,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - کسب لذت,c,reason.use,pleasure
40,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - کسب تجربه,c,reason.use,experience
41,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - فشار زندگی و استرس,c,reason.use,stress
42,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - تقلید از دیگران,c,reason.use,imiitate
43,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - به عنوان سرگرمی و تفریح,c,reason.use,recreation
44,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - احساس بزرگی و شخصیت,c,reason.use,dignity
45,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - کنجکاوی,c,reason.use,curiosity
46,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - لجاجت در مقابل والدین,c,reason.use,obstinancy
47,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - مشکلات روحی-عاطفی,c,reason.use,emotional.problems
48,اطلاعات اختصاصی الگوی مصرف سیگار - مهمترین دلیل شما برای سیگار کشیدن چیست؟ - ناامیدی از آینده زندگی,c,reason.use,future.pessimism
49,اطلاعات اختصاصی الگوی مصرف سیگار - بطور متوسط در یک روز چند نخ یا پاکت  سیگار مصرف می کنید؟,c,use.quantity,
50,اطلاعات اختصاصی الگوی مصرف سیگار - آیا تا به حال تمایل به  استفاده از سیگار  بعد از بیدار شدن از خواب داشته اید؟,c,morning.affinity,
51,اطلاعات اختصاصی الگوی مصرف سیگار - چه مدت پس از بیدار شدن از خواب، اولین سیگار را روشن می‌کنید؟,c,light.time,
52,اطلاعات اختصاصی الگوی مصرف سیگار - در چه ساعاتی بیشتر میل  به سیگار دارید و مصرف می کنید؟,c,hours.affinity,
53,اطلاعات اختصاصی الگوی مصرف سیگار - نکشیدن کدام نخ سیگار در روز برای شما مشکل تر است؟,c,which.difficult,
54,اطلاعات اختصاصی الگوی مصرف سیگار - آیا وقتی بیمار هستید هم، هوس سیگار می کنید و می کشید؟,c,affinity.sickness,
55,اطلاعات اختصاصی الگوی مصرف سیگار - اولین بار کجا سیگار کشیدید؟,c,where.first,
56,اطلاعات اختصاصی الگوی مصرف سیگار - چگونه شروع کردید؟,c,how.first,
57,"اطلاعات اختصاصی الگوی مصرف سیگار - با این جمله موافق هستید؟
«من از سیگار کشیدن لذت می برم.",c,enjoy.cigarette,
58,اطلاعات اختصاصی الگوی مصرف سیگار - آیا نکشیدن سیگار در محل هایی که ممنوع است، شما را ناراحت می کند؟,c,restriction.bother,
59,اطلاعات اختصاصی الگوی مصرف سیگار - فکر می کنید افرادی که سیگار می کشند، تعداد دوستانشان بیشتر است یا کمتر؟,c,effect.increase.friends,
60,اطلاعات اختصاصی الگوی مصرف سیگار - فکر می کنید مصرف سیگار باعث می گردد سایر افراد شما را بیشتر دوست داشته باشند و به شما بیشتر احترام بگذارند؟,c,increases.respect,
61,اطلاعات اختصاصی الگوی مصرف سیگار - آیا شما به بستگان درجه یک و دوستان صمیمی خود سیگار کشیدن را پیشنهاد می کنید؟,c,suggest.family.friends,
62,تمایل به ترک سیگارتمایل به ترک سیگار - آیا تمایل به ترک سیگار دارید؟,cq,willing.quit,
63,تمایل به ترک سیگار - آیا تا کنون اقدام به ترک داشته اید؟,cq,quit.commit,
64,مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - ترس از بيمارشدن,cq,reason.quit,sick.fear
65,تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - اصرار دوستان و فاميل,cq,reason.quit,family.persistence
66,تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - به خاطر فرزندانم,cq,reason.quit,children
67,تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - توصيه پرسنل بهداشتی,cq,reason.quit,health.care.suggestion
68,تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - قوانين محيط کار,cq,reason.quit,work.restriction
69,تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - خسته شدن از مصرف,cq,reason.quit,tired.use
70,تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - هزينه های مالی,cq,reason.quit,financial.cost
71,تمایل به ترک سیگار - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - ساير,cq,reason.quit,others
72,تمایل به ترک سیگار - تعداد دفعات ترک چند بار بوده؟,cq,quit.times,
73,تمایل به ترک سیگار - حداکثر چه مدت بین ترک ها فاصله بوده است؟,cq,quit.interval,
74,تمایل به ترک سیگار - آخرین زمانی که برای ترک اقدام کرده اید کی بود؟,cq,last.quit,
75,تمایل به ترک سیگار - مهمترين علل عدم موفقيت در ترکهای قبلی,cq,reason.unsuccessful.quit,
76,تمایل به ترک سیگار - روش يا روشهای مورد استفاده در ترکهای قبلی,cq,quit.methods,
77,چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟تمایل به ترک سیگار - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - تمایل زیاد به مصرف,cq,quit.negative.effect,high.affinity
78,تمایل به ترک سیگار - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - بی حوصلگی,cq,quit.negative.effect,impatience
79,تمایل به ترک سیگار - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - سرفه و خلط زیاد,cq,quit.negative.effect,productive.cough
80,تمایل به ترک سیگار - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - عدم تمرکز,cq,quit.negative.effect,unfocused
81,تمایل به ترک سیگار - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - افزایش وزن,cq,quit.negative.effect,weight.gain
82,تمایل به ترک سیگار - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - سایر موارد,cq,quit.negative.effect,othres
83,تمایل به ترک سیگار - آیا شما فکر می کنید اگر بخواهید می توانید دوباره سیگار را ترک کنید؟,cq,ca.quit.again,
84,تمایل به ترک سیگار - چه کسانی بیشتر  در این مسیر شما را حمایت خواهند کرد؟,cq,quit.supporter,
85,اطلاعات اختصاصی الگوی مصرف قلیاناطلاعات اختصاصی الگوی مصرف قلیان - حدودا از چه سنی شروع به کشیدن قلیان کردید؟,h,age,
86,مهمترین دلیل شما برای قلیان کشیدن چیست؟اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - کسب آرامش,h,main.reason.use,relaxig
87,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - رفع خستگی,h,main.reason.use,reduce.fatigue
88,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - کسب لذت,h,main.reason.use,pleasure
89,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - کسب تجربه,h,main.reason.use,experience
90,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - فشار زندگی و استرس,h,main.reason.use,stress
91,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - تقلید از دیگران,h,main.reason.use,imiitate
92,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - به عنوان سرگرمی و تفریح,h,main.reason.use,recreation
93,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - احساس بزرگی و شخصیت,h,main.reason.use,dignity
94,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - کنجکاوی,h,main.reason.use,curiosity
95,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - لجاجت در مقابل والدین,h,main.reason.use,obstinancy
96,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - مشکلات روحی-عاطفی,h,main.reason.use,emotional.problems
97,اطلاعات اختصاصی الگوی مصرف قلیان - مهمترین دلیل شما برای قلیان کشیدن چیست؟ - ناامیدی از آینده زندگی,h,main.reason.use,future.pessimism
98,اطلاعات اختصاصی الگوی مصرف قلیان - به طور متوسط چند بار در روز قلیان می‌کشید؟,h,use.quantity,
99,اطلاعات اختصاصی الگوی مصرف قلیان - آیا تا به حال احساس تمایل به  استفاده از قلیان  بعد از بیدار شدن از خواب داشته اید؟,h,morning.affinity,
100,اطلاعات اختصاصی الگوی مصرف قلیان - چه مدت پس از بیدار شدن قلیان می کشید؟,h,light.time,
101,اطلاعات اختصاصی الگوی مصرف قلیان - در چه ساعاتی بیشتر میل به قلیان کشیدن دارید؟,h,hours.affinity,
102,اطلاعات اختصاصی الگوی مصرف قلیان - به طور متوسط برای هر بار قلیان کشیدن چقدر زمان صرف می‌کنید؟,h,spend.time,
103,اطلاعات اختصاصی الگوی مصرف قلیان - بیشتر چه نوع تنباکویی مصرف می کنید؟,h,tobaco.class,
104,اطلاعات اختصاصی الگوی مصرف قلیان - نکشیدن کدام قلیان در روز برای شما مشکل تر است؟,h,which.difficult,
105,اطلاعات اختصاصی الگوی مصرف قلیان - آیا وقتی بیمار هستید هم، هوس قلیان می کنید و می کشید؟,h,affinity.sickness,
106,اطلاعات اختصاصی الگوی مصرف قلیان - اولین بار کجا قلیان کشیدید؟,h,where.first,
107,اطلاعات اختصاصی الگوی مصرف قلیان - چگونه شروع کردید؟,h,how.first,
108,اطلاعات اختصاصی الگوی مصرف قلیان - با این جمله موافق هستید؟ «من  از قلیان کشیدن لذت می برم.»,h,enjoy.hooka,
109,اطلاعات اختصاصی الگوی مصرف قلیان - آیا نکشیدن قلیان در محل هایی که ممنوع است، شما را ناراحت می کند؟,h,restriction.bother,
110,اطلاعات اختصاصی الگوی مصرف قلیان - فکر می کنید افرادی که قلیان مصرف می کنند، تعداد دوستانشان بیشتر است یا کمتر؟,h,effect.increase.friends,
111,اطلاعات اختصاصی الگوی مصرف قلیان - فکر می کنید مصرف قلیان باعث می گردد سایر افراد شما را بیشتر دوست داشته باشند و به شما بیشتر احترام بگذارند؟,h,increases.respect,
112,اطلاعات اختصاصی الگوی مصرف قلیان - آیا شما به بستگان درجه یک و دوستان صمیمی خود قلیان کشیدن را پیشنهاد می کنید؟,h,suggest.family.friends,
113,تمایل به ترک قلیانتمایل به ترک قلیان - آیا تمایل به ترک قلیان دارید؟,hq,willing.quit,
114,تمایل به ترک قلیان - آیا تا کنون اقدام به ترک قلیان داشته اید؟,hq,quit.commit,
115,مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - ترس از بيمارشدن,hq,reason.quit,sick.fear
116,تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - اصرار دوستان و فاميل,hq,reason.quit,family.persistence
117,تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - به خاطر فرزندانم,hq,reason.quit,children
118,تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - توصيه پرسنل بهداشتی,hq,reason.quit,health.care.suggestion
119,تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - قوانين محيط کار,hq,reason.quit,work.restriction
120,تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - خسته شدن از مصرف,hq,reason.quit,tired.use
121,تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - هزينه های مالی,hq,reason.quit,financial.cost
122,تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - ساير,hq,reason.quit,others
123,تمایل به ترک قلیان - تعداد دفعات ترک چند بار بوده؟,hq,quit.times,
124,تمایل به ترک قلیان - حداکثر چه مدت بین ترک ها فاصله بوده است؟,hq,quit.interval,
125,تمایل به ترک قلیان - آخرین زمانی که برای ترک اقدام کرده اید کی بود؟,hq,last.quit,
126,تمایل به ترک قلیان - مهمترين علل عدم موفقيت در ترکهای قبلی,hq,reason.unsuccessful.quit,
127,تمایل به ترک قلیان - روش يا روشهای مورد استفاده در ترکهای قبلی,hq,quit.methods,
128,چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - تمایل زیاد به مصرف,hq,quit.negative.effect,high.affinity
129,تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - بی حوصلگی,hq,quit.negative.effect,impatience
130,تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - سرفه و خلط زیاد,hq,quit.negative.effect,productive.cough
131,تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - عدم تمرکز,hq,quit.negative.effect,unfocused
132,تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - افزایش وزن,hq,quit.negative.effect,weight.gain
133,تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - سایر موارد,hq,quit.negative.effect,othres
134,تمایل به ترک قلیان - آیا شما فکر می کنید اگر بخواهید می توانید دوباره قلیان را ترک کنید؟,hq,ca.quit.again,
135,تمایل به ترک قلیان - چه کسانی بیشتر  در این مسیر شما را حمایت خواهند کرد؟,hq,quit.supporter,
136,علایم و نشانه‌های بیماری تنفسی - طی یک ماه گذشته، چقدر احساس تنگی نفس داشته‌اید؟,r,shortness,
137,علایم و نشانه‌های بیماری تنفسی - آیا تا به حال سرفۀ خلط‌دار داشته‌اید؟,r,productive.cough,
138,علایم و نشانه‌های بیماری تنفسی - «توان من برای انجام کارها، کمتر از توان افراد دیگر است.»,r,reduced.capacity,
139,علایم و نشانه‌های بیماری تنفسی - آیا تاکنون پزشک، بیماری تنفسی برای شما تشخیص داده است؟,r,respiratory.doctor,
140,علایم و نشانه‌های بیماری تنفسی - پزشک شما کدام مورد را تشخیص داده است؟,r,respiratory.diagnosis,
141,پرسشگرپرسشگر - پرسشگر هستید؟,p,p,
142,پرسشگر - کد مخصوص پرسشگر,p,p.code,
143,اسپم,p,spam,
144,تاریخ شروع,p,date.start,
145,تاریخ اتمام,p,date.finish,
